,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing Position,Minutes,Score At,Type,Goal assist,Player,Penalty
350,13_14,LaLiga,17,2013-12-22,Away,RM,Valencia CF,2:3,LW,40,01:02,Header,Angel Di Maria,CR7,False
351,13_14,LaLiga,18,2014-01-06,Home,RM,Celta de Vigo,3:0,LW,82,02:00,Right-footed shot,Daniel Carvajal,CR7,False
352,13_14,LaLiga,18,2014-01-06,Home,RM,Celta de Vigo,3:0,LW,90,03:00,Right-footed shot,Gareth Bale,CR7,False
353,13_14,Copa del Rey,last 16,2014-01-15,Away,RM,CA Osasuna,0:2,LW,22,00:01,Direct free kick,,CR7,False
354,13_14,LaLiga,20,2014-01-18,Away,RM,Real Betis Balompie,0:5,LW,10,00:01,Right-footed shot,Angel Di Maria,CR7,False
355,13_14,LaLiga,21,2014-01-25,Home,RM,Granada CF,2:0,LW,57,01:00,Right-footed shot,Luka Modric,CR7,False
356,13_14,Copa del Rey,Semi-Finals,2014-02-11,Away,RM,Atletico de Madrid,0:2,LW,6,00:01,Penalty,,CR7,True
357,13_14,Copa del Rey,Semi-Finals,2014-02-11,Away,RM,Atletico de Madrid,0:2,LW,15,00:02,Penalty,,CR7,True
358,13_14,UEFA Champions League,last 16,2014-02-26,Away,RM,FC Schalke 04,1:6,LW,52,00:03,Left-footed shot,Gareth Bale,CR7,False
359,13_14,UEFA Champions League,last 16,2014-02-26,Away,RM,FC Schalke 04,1:6,LW,89,00:06,Right-footed shot,Karim Benzema,CR7,False
360,13_14,LaLiga,26,2014-03-02,Away,RM,Atletico de Madrid,2:2,LW,82,02:02,Right-footed shot,Gareth Bale,CR7,False
361,13_14,LaLiga,27,2014-03-09,Home,RM,Levante UD,3:0,LW,11,01:00,Header,Angel Di Maria,CR7,False
362,13_14,LaLiga,28,2014-03-15,Away,RM,Malaga CF,0:1,LW,23,00:01,Right-footed shot,Gareth Bale,CR7,False
363,13_14,UEFA Champions League,last 16,2014-03-18,Home,RM,FC Schalke 04,3:1,LW,22,01:00,Right-footed shot,Gareth Bale,CR7,False
364,13_14,UEFA Champions League,last 16,2014-03-18,Home,RM,FC Schalke 04,3:1,LW,74,02:01,Right-footed shot,,CR7,False
365,13_14,LaLiga,29,2014-03-23,Home,RM,FC Barcelona,3:4,LW,55,03:02,Penalty,,CR7,True
366,13_14,LaLiga,30,2014-03-26,Away,RM,Sevilla FC,2:1,LW,14,00:01,Direct free kick,,CR7,False
367,13_14,LaLiga,31,2014-03-29,Home,RM,Rayo Vallecano,5:0,LW,15,01:00,Right-footed shot,Gareth Bale,CR7,False
368,13_14,UEFA Champions League,Quarter-Finals,2014-04-02,Home,RM,Borussia Dortmund,3:0,LW,57,03:00,Left-footed shot,Luka Modric,CR7,False
369,13_14,LaLiga,35,2014-04-26,Home,RM,CA Osasuna,4:0,LW,6,01:00,Long distance kick,Angel Di Maria,CR7,False
370,13_14,LaLiga,35,2014-04-26,Home,RM,CA Osasuna,4:0,LW,52,02:00,Long distance kick,Isco,CR7,False
371,13_14,UEFA Champions League,Semi-Finals,2014-04-29,Away,RM,Bayern Munich,0:4,LW,34,00:03,Counter attack goal,Gareth Bale,CR7,False
372,13_14,UEFA Champions League,Semi-Finals,2014-04-29,Away,RM,Bayern Munich,0:4,LW,90,00:04,Direct free kick,,CR7,False
373,13_14,LaLiga,36,2014-05-04,Home,RM,Valencia CF,2:2,LW,90,02:02,Right-footed shot,Angel Di Maria,CR7,False
374,13_14,UEFA Champions League,Final,2014-05-24,Home,RM,Atletico de Madrid,4:1 AET,LW,120,04:01,Penalty,,CR7,True
375,14_15,UEFA Super Cup,Final,2014-08-12,Home,RM,Sevilla FC,2:0,LW,30,01:00,Right-footed shot,Gareth Bale,CR7,False
376,14_15,UEFA Super Cup,Final,2014-08-12,Home,RM,Sevilla FC,2:0,LW,49,02:00,Left-footed shot,Karim Benzema,CR7,False
377,14_15,LaLiga,1,2014-08-25,Home,RM,CÃ³rdoba CF,2:0,LW,90,02:00,Right-footed shot,Isco,CR7,False
378,14_15,LaLiga,3,2014-09-13,Home,RM,Atletico de Madrid,1:2,LW,25,01:01,Penalty,,CR7,True
379,14_15,UEFA Champions League,Group Stage,2014-09-16,Home,RM,FC Basel 1893,5:1,LW,31,03:00,Right-footed shot,Gareth Bale,CR7,False
380,14_15,LaLiga,4,2014-09-20,Away,RM,Deportivo de La Coruña,2:8,RW,29,00:01,Header,alvaro Arbeloa,CR7,False
381,14_15,LaLiga,4,2014-09-20,Away,RM,Deportivo de La Coruña,2:8,RW,41,00:03,Left-footed shot,Karim Benzema,CR7,False
382,14_15,LaLiga,4,2014-09-20,Away,RM,Deportivo de La Coruña,2:8,RW,78,01:06,Left-footed shot,James Rodriguez,CR7,False
383,14_15,LaLiga,5,2014-09-23,Home,RM,Elche CF,5:1,CF,28,02:01,Penalty,,CR7,True
384,14_15,LaLiga,5,2014-09-23,Home,RM,Elche CF,5:1,CF,32,03:01,Header,Marcelo,CR7,False
385,14_15,LaLiga,5,2014-09-23,Home,RM,Elche CF,5:1,CF,80,04:01,Penalty,,CR7,True
386,14_15,LaLiga,5,2014-09-23,Home,RM,Elche CF,5:1,CF,90,05:01,Right-footed shot,Gareth Bale,CR7,False
387,14_15,LaLiga,6,2014-09-27,Away,RM,Villarreal CF,0:2,CF,40,00:02,Right-footed shot,Karim Benzema,CR7,False
388,14_15,UEFA Champions League,Group Stage,2014-10-01,Away,RM,Ludogorets Razgrad,1:2,CF,25,01:01,Penalty,,CR7,True
389,14_15,LaLiga,7,2014-10-05,Home,RM,Athletic Bilbao,5:0,LW,3,01:00,Header,Gareth Bale,CR7,False
390,14_15,LaLiga,7,2014-10-05,Home,RM,Athletic Bilbao,5:0,LW,55,03:00,Right-footed shot,Gareth Bale,CR7,False
391,14_15,LaLiga,7,2014-10-05,Home,RM,Athletic Bilbao,5:0,LW,89,05:00,Deflected shot on goal,Pepe,CR7,False
392,14_15,LaLiga,8,2014-10-18,Away,RM,Levante UD,0:5,CF,13,00:01,Penalty,,CR7,True
393,14_15,LaLiga,8,2014-10-18,Away,RM,Levante UD,0:5,CF,61,00:03,Right-footed shot,Isco,CR7,False
394,14_15,UEFA Champions League,Group Stage,2014-10-22,Away,RM,Liverpool FC,0:3,CF,23,00:01,Right-footed shot,James Rodriguez,CR7,False
395,14_15,LaLiga,9,2014-10-25,Home,RM,FC Barcelona,3:1,CF,35,01:01,Penalty,,CR7,True
396,14_15,LaLiga,10,2014-11-01,Away,RM,Granada CF,0:4,CF,2,00:01,Right-footed shot,Karim Benzema,CR7,False
397,14_15,LaLiga,11,2014-11-08,Home,RM,Rayo Vallecano,5:1,CF,83,05:01,Right-footed shot,Isco,CR7,False
398,14_15,LaLiga,12,2014-11-22,Away,RM,SD Eibar,0:4,CF,43,00:02,Right-footed shot,Daniel Carvajal,CR7,False
399,14_15,LaLiga,12,2014-11-22,Away,RM,SD Eibar,0:4,CF,83,00:04,Penalty,,CR7,True
400,14_15,UEFA Champions League,Group Stage,2014-11-26,Away,RM,FC Basel 1893,0:1,LW,35,00:01,Left-footed shot,Karim Benzema,CR7,False
401,14_15,LaLiga,14,2014-12-06,Home,RM,Celta de Vigo,3:0,CF,36,01:00,Penalty,,CR7,True
402,14_15,LaLiga,14,2014-12-06,Home,RM,Celta de Vigo,3:0,CF,65,02:00,Right-footed shot,,CR7,False
403,14_15,LaLiga,14,2014-12-06,Home,RM,Celta de Vigo,3:0,CF,81,03:00,Left-footed shot,Marcelo,CR7,False
404,14_15,UEFA Champions League,Group Stage,2014-12-09,Home,RM,Ludogorets Razgrad,4:0,CF,20,01:00,Penalty,,CR7,True
405,14_15,LaLiga,15,2014-12-12,Away,RM,UD Almeria,1:4,CF,81,01:03,Right-footed shot,Karim Benzema,CR7,False
406,14_15,LaLiga,15,2014-12-12,Away,RM,UD Almeria,1:4,CF,89,01:04,Right-footed shot,Daniel Carvajal,CR7,False
407,14_15,LaLiga,17,2015-01-04,Away,RM,Valencia CF,2:1,LW,14,00:01,Penalty,,CR7,True
408,14_15,Copa del Rey,last 16,2015-01-15,Home,RM,Atletico de Madrid,2:2,CF,54,02:02,Header,Gareth Bale,CR7,False
409,14_15,LaLiga,19,2015-01-18,Away,RM,Getafe CF,0:3,LW,63,00:01,Left-footed shot,Karim Benzema,CR7,False
410,14_15,LaLiga,19,2015-01-18,Away,RM,Getafe CF,0:3,LW,79,00:03,Header,James Rodriguez,CR7,False
411,14_15,UEFA Champions League,last 16,2015-02-18,Away,RM,FC Schalke 04,0:2,LW,26,00:01,Header,Daniel Carvajal,CR7,False
412,14_15,LaLiga,24,2015-02-22,Away,RM,Elche CF,0:2,CF,69,00:02,Header,Isco,CR7,False
413,14_15,LaLiga,25,2015-03-01,Home,RM,Villarreal CF,1:1,CF,52,01:00,Penalty,,CR7,True
414,14_15,UEFA Champions League,last 16,2015-03-10,Home,RM,FC Schalke 04,3:4,CF,25,01:01,Header,Toni Kroos,CR7,False
415,14_15,UEFA Champions League,last 16,2015-03-10,Home,RM,FC Schalke 04,3:4,CF,45,02:02,Header,Fábio Coentrão,CR7,False
416,14_15,LaLiga,28,2015-03-22,Away,RM,FC Barcelona,2:1,LW,31,01:01,Right-footed shot,Karim Benzema,CR7,False
417,14_15,LaLiga,29,2015-04-05,Home,RM,Granada CF,9:1,CF,30,02:00,Right-footed shot,James Rodriguez,CR7,False
418,14_15,LaLiga,29,2015-04-05,Home,RM,Granada CF,9:1,CF,36,03:00,Right-footed shot,,CR7,False
419,14_15,LaLiga,29,2015-04-05,Home,RM,Granada CF,9:1,CF,38,04:00,Long distance kick,Gareth Bale,CR7,False
420,14_15,LaLiga,29,2015-04-05,Home,RM,Granada CF,9:1,CF,54,06:00,Header,Gareth Bale,CR7,False
421,14_15,LaLiga,29,2015-04-05,Home,RM,Granada CF,9:1,CF,90,09:01,Header,Luka Modric,CR7,False
422,14_15,LaLiga,30,2015-04-08,Away,RM,Rayo Vallecano,0:2,LW,68,00:01,Header,Daniel Carvajal,CR7,False
423,14_15,LaLiga,31,2015-04-11,Home,RM,SD Eibar,3:0,LW,21,01:00,Direct free kick,,CR7,False
424,14_15,LaLiga,32,2015-04-18,Home,RM,Malaga CF,3:1,CF,90+2,03:01,Left-footed shot,Chicharito,CR7,False
425,14_15,LaLiga,35,2015-05-02,Away,RM,Sevilla FC,2:3,CF,36,00:01,Header,Isco,CR7,False
426,14_15,LaLiga,35,2015-05-02,Away,RM,Sevilla FC,2:3,CF,37,00:02,Right-footed shot,Chicharito,CR7,False
427,14_15,LaLiga,35,2015-05-02,Away,RM,Sevilla FC,2:3,CF,69,01:03,Header,Gareth Bale,CR7,False
428,14_15,UEFA Champions League,Semi-Finals,2015-05-05,Away,RM,Juventus FC,2:1,CF,27,01:01,Header,James Rodriguez,CR7,False
429,14_15,UEFA Champions League,Semi-Finals,2015-05-13,Home,RM,Juventus FC,1:1,LW,23,01:00,Penalty,,CR7,True
430,14_15,LaLiga,37,2015-05-17,Away,RM,RCD Espanyol Barcelona,1:4,LW,59,00:01,Left-footed shot,Karim Benzema,CR7,False
431,14_15,LaLiga,37,2015-05-17,Away,RM,RCD Espanyol Barcelona,1:4,LW,83,01:03,Right-footed shot,Chicharito,CR7,False
432,14_15,LaLiga,37,2015-05-17,Away,RM,RCD Espanyol Barcelona,1:4,LW,90+1,01:04,Header,James Rodriguez,CR7,False
433,14_15,LaLiga,38,2015-05-23,Home,RM,Getafe CF,7:3,LW,13,01:00,Header,Marcelo,CR7,False
434,14_15,LaLiga,38,2015-05-23,Home,RM,Getafe CF,7:3,LW,32,02:02,Direct free kick,,CR7,False
435,14_15,LaLiga,38,2015-05-23,Home,RM,Getafe CF,7:3,LW,34,03:02,Penalty,,CR7,True
436,15_16,LaLiga,3,2015-09-12,Away,RM,RCD Espanyol Barcelona,0:6,LW,7,00:01,Right-footed shot,Luka Modric,CR7,False
437,15_16,LaLiga,3,2015-09-12,Away,RM,RCD Espanyol Barcelona,0:6,LW,17,00:02,Penalty,,CR7,True
438,15_16,LaLiga,3,2015-09-12,Away,RM,RCD Espanyol Barcelona,0:6,LW,20,00:03,Left-footed shot,Gareth Bale,CR7,False
439,15_16,LaLiga,3,2015-09-12,Away,RM,RCD Espanyol Barcelona,0:6,LW,62,00:05,Right-footed shot,Gareth Bale,CR7,False
440,15_16,LaLiga,3,2015-09-12,Away,RM,RCD Espanyol Barcelona,0:6,LW,81,00:06,Right-footed shot,Lucas Vazquez,CR7,False
441,15_16,UEFA Champions League,Group Stage,2015-09-15,Home,RM,Shakhtar Donetsk,4:0,LW,56,02:00,Penalty,,CR7,True
442,15_16,UEFA Champions League,Group Stage,2015-09-15,Home,RM,Shakhtar Donetsk,4:0,LW,64,03:00,Penalty,,CR7,True
443,15_16,UEFA Champions League,Group Stage,2015-09-15,Home,RM,Shakhtar Donetsk,4:0,LW,82,04:00,Header,,CR7,False
444,15_16,UEFA Champions League,Group Stage,2015-09-30,Away,RM,Malmö FF,0:2,LW,29,00:01,Right-footed shot,Isco,CR7,False
445,15_16,UEFA Champions League,Group Stage,2015-09-30,Away,RM,Malmö FF,0:2,LW,90,00:02,Left-footed shot,Lucas Vazquez,CR7,False
446,15_16,LaLiga,8,2015-10-17,Home,RM,Levante UD,3:0,CF,30,02:00,Right-footed shot,Toni Kroos,CR7,False
447,15_16,LaLiga,9,2015-10-24,Away,RM,Celta de Vigo,1:3,CF,8,00:01,Right-footed shot,Lucas Vazquez,CR7,False
448,15_16,LaLiga,10,2015-10-31,Home,RM,UD Las Palmas,3:1,CF,14,02:00,Header,Marcelo,CR7,False
449,15_16,UEFA Champions League,Group Stage,2015-11-25,Away,RM,Shakhtar Donetsk,3:4,CF,18,00:01,Header,Gareth Bale,CR7,False
450,15_16,UEFA Champions League,Group Stage,2015-11-25,Away,RM,Shakhtar Donetsk,3:4,CF,70,00:04,Right-footed shot,Gareth Bale,CR7,False
451,15_16,LaLiga,13,2015-11-29,Away,RM,SD Eibar,0:2,CF,82,00:02,Penalty,,CR7,True
452,15_16,LaLiga,14,2015-12-05,Home,RM,Getafe CF,4:1,LW,38,04:00,Right-footed shot,Toni Kroos,CR7,False
453,15_16,UEFA Champions League,Group Stage,2015-12-08,Home,RM,Malmö FF,8:0,LW,39,03:00,Direct free kick,,CR7,False
454,15_16,UEFA Champions League,Group Stage,2015-12-08,Home,RM,Malmö FF,8:0,LW,47,04:00,Tap-in,,CR7,False
455,15_16,UEFA Champions League,Group Stage,2015-12-08,Home,RM,Malmö FF,8:0,LW,50,05:00,Right-footed shot,Danilo,CR7,False
456,15_16,UEFA Champions League,Group Stage,2015-12-08,Home,RM,Malmö FF,8:0,LW,59,06:00,Right-footed shot,Isco,CR7,False
457,15_16,LaLiga,16,2015-12-20,Home,RM,Rayo Vallecano,10:2,LW,30,03:02,Penalty,,CR7,True
458,15_16,LaLiga,16,2015-12-20,Home,RM,Rayo Vallecano,10:2,LW,54,06:02,Header,James Rodriguez,CR7,False
459,15_16,LaLiga,17,2015-12-30,Home,RM,Real Sociedad,3:1,LW,42,01:00,Penalty,,CR7,True
460,15_16,LaLiga,17,2015-12-30,Home,RM,Real Sociedad,3:1,LW,68,02:01,Left-footed shot,Marcelo,CR7,False
461,15_16,LaLiga,20,2016-01-17,Home,RM,Sporting de Gijón,5:1,LW,9,02:00,Left-footed shot,Karim Benzema,CR7,False
462,15_16,LaLiga,20,2016-01-17,Home,RM,Sporting de Gijón,5:1,LW,18,04:00,Left-footed shot,Daniel Carvajal,CR7,False
463,15_16,LaLiga,22,2016-01-31,Home,RM,RCD Espanyol Barcelona,6:0,LW,12,02:00,Penalty,,CR7,True
464,15_16,LaLiga,22,2016-01-31,Home,RM,RCD Espanyol Barcelona,6:0,LW,45,04:00,Left-footed shot,,CR7,False
465,15_16,LaLiga,22,2016-01-31,Home,RM,RCD Espanyol Barcelona,6:0,LW,82,05:00,Header,Jese,CR7,False
466,15_16,LaLiga,24,2016-02-13,Home,RM,Athletic Bilbao,4:2,LW,3,01:00,Right-footed shot,Karim Benzema,CR7,False
467,15_16,LaLiga,24,2016-02-13,Home,RM,Athletic Bilbao,4:2,LW,87,04:01,Right-footed shot,Lucas Vazquez,CR7,False
468,15_16,UEFA Champions League,last 16,2016-02-17,Away,RM,AS Roma,0:2,LW,57,00:01,Right-footed shot,Marcelo,CR7,False
469,15_16,LaLiga,25,2016-02-21,Away,RM,Malaga CF,1:1,LW,33,00:01,Header,Toni Kroos,CR7,False
470,15_16,LaLiga,27,2016-03-02,Away,RM,Levante UD,1:3,LW,34,00:01,Penalty,,CR7,True
471,15_16,LaLiga,28,2016-03-05,Home,RM,Celta de Vigo,7:1,LW,50,02:00,Long distance kick,Sergio Ramos,CR7,False
472,15_16,LaLiga,28,2016-03-05,Home,RM,Celta de Vigo,7:1,LW,58,03:00,Direct free kick,,CR7,False
473,15_16,LaLiga,28,2016-03-05,Home,RM,Celta de Vigo,7:1,LW,64,04:01,Right-footed shot,Isco,CR7,False
474,15_16,LaLiga,28,2016-03-05,Home,RM,Celta de Vigo,7:1,LW,76,05:01,Header,Jese,CR7,False
475,15_16,UEFA Champions League,last 16,2016-03-08,Home,RM,AS Roma,2:0,CF,64,01:00,Right-footed shot,Lucas Vazquez,CR7,False
476,15_16,LaLiga,30,2016-03-20,Home,RM,Sevilla FC,4:0,LW,64,02:00,Left-footed shot,Danilo,CR7,False
477,15_16,LaLiga,31,2016-04-02,Away,RM,FC Barcelona,1:2,LW,85,01:02,Right-footed shot,Gareth Bale,CR7,False
478,15_16,LaLiga,32,2016-04-09,Home,RM,SD Eibar,4:0,CF,19,03:00,Right-footed shot,Jese,CR7,False
479,15_16,UEFA Champions League,Quarter-Finals,2016-04-12,Home,RM,VfL Wolfsburg,3:0,LW,16,01:00,Right-footed shot,Daniel Carvajal,CR7,False
480,15_16,UEFA Champions League,Quarter-Finals,2016-04-12,Home,RM,VfL Wolfsburg,3:0,LW,17,02:00,Header,Toni Kroos,CR7,False
481,15_16,UEFA Champions League,Quarter-Finals,2016-04-12,Home,RM,VfL Wolfsburg,3:0,LW,77,03:00,Direct free kick,,CR7,False
482,15_16,LaLiga,33,2016-04-16,Away,RM,Getafe CF,1:5,LW,90+2,01:05,Left-footed shot,Jese,CR7,False
483,15_16,LaLiga,37,2016-05-08,Home,RM,Valencia CF,3:2,LW,26,01:00,Right-footed shot,Marcelo,CR7,False
484,15_16,LaLiga,37,2016-05-08,Home,RM,Valencia CF,3:2,LW,59,03:01,Left-footed shot,James Rodriguez,CR7,False
485,15_16,LaLiga,38,2016-05-14,Away,RM,Deportivo de La Coruña,0:2,LW,8,00:01,Left-footed shot,Karim Benzema,CR7,False
486,15_16,LaLiga,38,2016-05-14,Away,RM,Deportivo de La Coruña,0:2,LW,25,00:02,Header,Toni Kroos,CR7,False
487,16_17,LaLiga,3,2016-09-10,Home,RM,CA Osasuna,5:2,LW,6,01:00,Right-footed shot,Gareth Bale,CR7,False
488,16_17,UEFA Champions League,Group Stage,2016-09-14,Home,RM,Sporting CP,2:1,LW,89,01:01,Direct free kick,,CR7,False
489,16_17,UEFA Champions League,Group Stage,2016-09-27,Away,RM,Borussia Dortmund,2:2,LW,17,00:01,Right-footed shot,Gareth Bale,CR7,False
490,16_17,LaLiga,8,2016-10-15,Away,RM,Real Betis Balompie,1:6,LW,78,01:06,Right-footed shot,alvaro Morata,CR7,False
491,16_17,LaLiga,10,2016-10-29,Away,RM,Deportivo Alaves,1:4,LW,17,01:01,Penalty,,CR7,True
492,16_17,LaLiga,10,2016-10-29,Away,RM,Deportivo Alaves,1:4,LW,33,01:02,Right-footed shot,Karim Benzema,CR7,False
493,16_17,LaLiga,10,2016-10-29,Away,RM,Deportivo Alaves,1:4,LW,88,01:04,Right-footed shot,Marcelo,CR7,False
494,16_17,LaLiga,12,2016-11-19,Away,RM,Atletico de Madrid,0:3,CF,23,00:01,Direct free kick,,CR7,False
495,16_17,LaLiga,12,2016-11-19,Away,RM,Atletico de Madrid,0:3,CF,71,00:02,Penalty,,CR7,True
496,16_17,LaLiga,12,2016-11-19,Away,RM,Atletico de Madrid,0:3,CF,77,00:03,Right-footed shot,Gareth Bale,CR7,False
497,16_17,LaLiga,13,2016-11-26,Home,RM,Sporting de Gijón,2:1,LW,5,01:00,Penalty,,CR7,True
498,16_17,LaLiga,13,2016-11-26,Home,RM,Sporting de Gijón,2:1,LW,18,02:00,Header,Nacho Fernandez,CR7,False
499,16_17,FIFA Club World Cup,Semi-Finals,2016-12-15,Away,RM,CF America,0:2,LW,90+3,00:02,Right-footed shot,James Rodriguez,CR7,False
500,16_17,FIFA Club World Cup,Final,2016-12-18,Home,RM,Kashima Antlers,4:2 AET,LW,60,02:02,Penalty,,CR7,True
501,16_17,FIFA Club World Cup,Final,2016-12-18,Home,RM,Kashima Antlers,4:2 AET,LW,97,03:02,Left-footed shot,Karim Benzema,CR7,False
502,16_17,FIFA Club World Cup,Final,2016-12-18,Home,RM,Kashima Antlers,4:2 AET,LW,104,04:02,Left-footed shot,Toni Kroos,CR7,False
503,16_17,LaLiga,17,2017-01-07,Home,RM,Granada CF,5:0,LW,27,03:00,Header,Marcelo,CR7,False
504,16_17,LaLiga,18,2017-01-15,Away,RM,Sevilla FC,2:1,CF,67,00:01,Penalty,,CR7,True
505,16_17,Copa del Rey,Quarter-Finals,2017-01-25,Away,RM,Celta de Vigo,2:2,CF,62,01:01,Direct free kick,,CR7,False
506,16_17,LaLiga,20,2017-01-29,Home,RM,Real Sociedad,3:0,LW,51,02:00,Right-footed shot,Mateo Kovacic,CR7,False
507,16_17,LaLiga,22,2017-02-11,Away,RM,CA Osasuna,1:3,CF,24,00:01,Right-footed shot,Karim Benzema,CR7,False
508,16_17,LaLiga,16,2017-02-22,Away,RM,Valencia CF,2:1,LW,44,02:01,Header,Marcelo,CR7,False
509,16_17,LaLiga,24,2017-02-26,Away,RM,Villarreal CF,2:3,LW,74,02:02,Penalty,,CR7,True
510,16_17,LaLiga,25,2017-03-01,Home,RM,UD Las Palmas,3:3,LW,86,02:03,Penalty,,CR7,True
511,16_17,LaLiga,25,2017-03-01,Home,RM,UD Las Palmas,3:3,LW,89,03:03,Header,James Rodriguez,CR7,False
512,16_17,LaLiga,27,2017-03-12,Home,RM,Real Betis Balompie,2:1,LW,41,01:01,Header,Marcelo,CR7,False
513,16_17,UEFA Champions League,Quarter-Finals,2017-04-12,Away,RM,Bayern Munich,1:2,LW,47,01:01,Right-footed shot,Daniel Carvajal,CR7,False
514,16_17,UEFA Champions League,Quarter-Finals,2017-04-12,Away,RM,Bayern Munich,1:2,LW,77,01:02,Right-footed shot,Marco Asensio,CR7,False
515,16_17,UEFA Champions League,Quarter-Finals,2017-04-18,Home,RM,Bayern Munich,4:2 AET,CF,76,01:01,Header,Casemiro,CR7,False
516,16_17,UEFA Champions League,Quarter-Finals,2017-04-18,Home,RM,Bayern Munich,4:2 AET,CF,105,02:02,Left-footed shot,Sergio Ramos,CR7,False
517,16_17,UEFA Champions League,Quarter-Finals,2017-04-18,Home,RM,Bayern Munich,4:2 AET,CF,109,03:02,Right-footed shot,Marcelo,CR7,False
518,16_17,LaLiga,35,2017-04-29,Home,RM,Valencia CF,2:1,LW,27,01:00,Header,Daniel Carvajal,CR7,False
519,16_17,UEFA Champions League,Semi-Finals,2017-05-02,Home,RM,Atletico de Madrid,3:0,CF,10,01:00,Header,Casemiro,CR7,False
520,16_17,UEFA Champions League,Semi-Finals,2017-05-02,Home,RM,Atletico de Madrid,3:0,CF,73,02:00,Right-footed shot,Karim Benzema,CR7,False
521,16_17,UEFA Champions League,Semi-Finals,2017-05-02,Home,RM,Atletico de Madrid,3:0,CF,86,03:00,Right-footed shot,Lucas Vazquez,CR7,False
522,16_17,LaLiga,37,2017-05-14,Home,RM,Sevilla FC,4:1,LW,23,02:00,Right-footed shot,,CR7,False
523,16_17,LaLiga,37,2017-05-14,Home,RM,Sevilla FC,4:1,LW,78,03:01,Left-footed shot,Toni Kroos,CR7,False
524,16_17,LaLiga,21,2017-05-17,Away,RM,Celta de Vigo,1:4,CF,10,00:01,Left-footed shot,,CR7,False
525,16_17,LaLiga,21,2017-05-17,Away,RM,Celta de Vigo,1:4,CF,48,00:02,Left-footed shot,Isco,CR7,False
526,16_17,LaLiga,38,2017-05-21,Away,RM,Malaga CF,0:2,CF,2,00:01,Right-footed shot,Isco,CR7,False
527,16_17,UEFA Champions League,Final,2017-06-03,Away,RM,Juventus FC,1:4,CF,20,00:01,Right-footed shot,Daniel Carvajal,CR7,False
528,16_17,UEFA Champions League,Final,2017-06-03,Away,RM,Juventus FC,1:4,CF,64,01:03,Right-footed shot,Luka Modric,CR7,False
529,17_18,Supercopa,final,2017-08-13,Away,RM,FC Barcelona,1:3,CF,80,01:02,Right-footed shot,Isco,CR7,False
530,17_18,UEFA Champions League,Group Stage,2017-09-13,Home,RM,APOEL Nicosia,3:0,CF,12,01:00,Counter attack goal,Gareth Bale,CR7,False
531,17_18,UEFA Champions League,Group Stage,2017-09-13,Home,RM,APOEL Nicosia,3:0,CF,51,02:00,Penalty,,CR7,True
532,17_18,UEFA Champions League,Group Stage,2017-09-26,Away,RM,Borussia Dortmund,1:3,CF,49,00:02,Left-footed shot,Gareth Bale,CR7,False
533,17_18,UEFA Champions League,Group Stage,2017-09-26,Away,RM,Borussia Dortmund,1:3,CF,79,01:03,Right-footed shot,Luka Modric,CR7,False
534,17_18,LaLiga,8,2017-10-14,Away,RM,Getafe CF,1:2,CF,85,01:02,Right-footed shot,Isco,CR7,False
535,17_18,UEFA Champions League,Group Stage,2017-10-17,Home,RM,Tottenham Hotspur,1:1,LW,43,01:01,Penalty,,CR7,True
536,17_18,UEFA Champions League,Group Stage,2017-11-01,Away,RM,Tottenham Hotspur,3:1,LW,80,03:01,Right-footed shot,Borja Mayoral,CR7,False
537,17_18,UEFA Champions League,Group Stage,2017-11-21,Away,RM,APOEL Nicosia,0:6,LW,49,00:05,Header,Marcelo,CR7,False
538,17_18,UEFA Champions League,Group Stage,2017-11-21,Away,RM,APOEL Nicosia,0:6,LW,54,00:06,Left-footed shot,,CR7,False
539,17_18,LaLiga,13,2017-11-25,Home,RM,Malaga CF,3:2,CF,76,03:02,Penalty rebound,,CR7,False
540,17_18,UEFA Champions League,Group Stage,2017-12-06,Home,RM,Borussia Dortmund,3:2,LW,12,02:00,Right-footed shot,Mateo Kovacic,CR7,False
541,17_18,LaLiga,15,2017-12-09,Home,RM,Sevilla FC,5:0,CF,23,02:00,Right-footed shot,Marco Asensio,CR7,False
542,17_18,LaLiga,15,2017-12-09,Home,RM,Sevilla FC,5:0,CF,31,03:00,Penalty,,CR7,True
543,17_18,FIFA Club World Cup,Semi-Finals,2017-12-13,Away,RM,Al-Jazira (Abu Dhabi),1:2,LW,53,01:01,Right-footed shot,Luka Modric,CR7,False
544,17_18,FIFA Club World Cup,Final,2017-12-16,Home,RM,Grêmio Foot-Ball Porto Alegrense,1:0,LW,53,01:00,Direct free kick,,CR7,False
545,17_18,LaLiga,20,2018-01-21,Home,RM,Deportivo de La Coruña,7:1,LW,78,05:01,Left-footed shot,Casemiro,CR7,False
546,17_18,LaLiga,20,2018-01-21,Home,RM,Deportivo de La Coruña,7:1,LW,84,06:01,Header,Lucas Vazquez,CR7,False
547,17_18,LaLiga,21,2018-01-27,Away,RM,Valencia CF,1:4,LW,16,00:01,Penalty,,CR7,True
548,17_18,LaLiga,21,2018-01-27,Away,RM,Valencia CF,1:4,LW,38,00:02,Penalty,,CR7,True
549,17_18,LaLiga,23,2018-02-10,Home,RM,Real Sociedad,5:2,CF,27,02:00,Right-footed shot,Marcelo,CR7,False
