,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing Position,Minutes,Score At,Type,Goal assist
554,17_18,LaLiga,24,2018-02-18,Away,RM,Real Betis Balompie,3:5,CF,65,02:04,Right-footed shot,Casemiro
555,17_18,LaLiga,25,2018-02-24,Home,RM,Deportivo Alaves,4:0,CF,44,01:00,Left-footed shot,Karim Benzema
556,17_18,LaLiga,25,2018-02-24,Home,RM,Deportivo Alaves,4:0,CF,61,03:00,Right-footed shot,Lucas Vazquez
557,17_18,LaLiga,27,2018-03-03,Home,RM,Getafe CF,3:1,CF,45+1,02:00,Left-footed shot,Karim Benzema
558,17_18,LaLiga,27,2018-03-03,Home,RM,Getafe CF,3:1,CF,78,03:01,Header,Marcelo
559,17_18,UEFA Champions League,last 16,2018-03-06,Away,RM,Paris Saint-Germain,1:2,CF,51,00:01,Header,Lucas Vazquez
560,17_18,LaLiga,28,2018-03-10,Away,RM,SD Eibar,1:2,CF,33,00:01,Right-footed shot,Luka Modric
561,17_18,LaLiga,28,2018-03-10,Away,RM,SD Eibar,1:2,CF,84,01:02,Header,Daniel Carvajal
562,17_18,LaLiga,29,2018-03-18,Home,RM,Girona FC,6:3,CF,11,01:00,Left-footed shot,Toni Kroos
563,17_18,LaLiga,29,2018-03-18,Home,RM,Girona FC,6:3,CF,47,02:01,Left-footed shot,Karim Benzema
564,17_18,LaLiga,29,2018-03-18,Home,RM,Girona FC,6:3,CF,64,04:01,Tap-in,
565,17_18,LaLiga,29,2018-03-18,Home,RM,Girona FC,6:3,CF,90+1,06:03,Right-footed shot,Toni Kroos
566,17_18,UEFA Champions League,Quarter-Finals,2018-04-03,Away,RM,Juventus FC,0:3,CF,3,00:01,Right-footed shot,Isco
567,17_18,UEFA Champions League,Quarter-Finals,2018-04-03,Away,RM,Juventus FC,0:3,CF,64,00:02,Right-footed shot,Daniel Carvajal
568,17_18,LaLiga,31,2018-04-08,Home,RM,Atletico de Madrid,1:1,CF,53,01:00,Right-footed shot,Gareth Bale
569,17_18,UEFA Champions League,Quarter-Finals,2018-04-11,Home,RM,Juventus FC,1:3,CF,90+7,01:03,Penalty,
570,17_18,LaLiga,33,2018-04-18,Home,RM,Athletic Bilbao,1:1,CF,87,01:01,Right-footed shot,Luka Modric
571,17_18,LaLiga,36,2018-05-06,Away,RM,FC Barcelona,2:2,LW,14,01:01,Right-footed shot,Karim Benzema
572,17_18,LaLiga,38,2018-05-19,Away,RM,Villarreal CF,2:2,CF,32,00:02,Header,Marcelo
573,18_19,Serie A,4,2018-09-16,Home,Juv,US Sassuolo,2:1,CF,50,01:00,Tap-in,
574,18_19,Serie A,4,2018-09-16,Home,Juv,US Sassuolo,2:1,CF,65,02:00,Left-footed shot,Emre Can
575,18_19,Serie A,5,2018-09-23,Away,Juv,Frosinone Calcio,0:2,LW,81,00:01,Left-footed shot,
576,18_19,Serie A,8,2018-10-06,Away,Juv,Udinese Calcio,0:2,LW,37,00:02,Left-footed shot,Mario Mandzukic
577,18_19,Serie A,9,2018-10-20,Home,Juv,Genoa CFC,1:1,LW,18,01:00,Tap-in,
578,18_19,Serie A,10,2018-10-27,Away,Juv,Empoli FC ,1:2,CF,54,01:01,Penalty,
579,18_19,Serie A,10,2018-10-27,Away,Juv,Empoli FC ,1:2,CF,70,01:02,Right-footed shot,Blaise Matuidi
580,18_19,UEFA Champions League,Group Stage,2018-11-07,Home,Juv,Manchester United,1:2,CF,65,01:00,Right-footed shot,Leonardo Bonucci
581,18_19,Serie A,12,2018-11-11,Away,Juv,AC Milan,0:2,LW,81,00:02,Tap-in,
582,18_19,Serie A,13,2018-11-24,Home,Juv,SPAL,2:0,CF,29,01:00,Left-footed shot,Miralem Pjanic
583,18_19,Serie A,14,2018-12-01,Away,Juv,ACF Fiorentina,0:3,LW,79,00:03,Penalty,
584,18_19,Serie A,16,2018-12-15,Away,Juv,Torino FC,0:1,LW,70,00:01,Penalty,
585,18_19,Serie A,18,2018-12-26,Away,Juv,Atalanta BC,2:2,CF,78,02:02,Header,Giorgio Chiellini
586,18_19,Serie A,19,2018-12-29,Home,Juv,UC Sampdoria,2:1,LW,2,01:00,Right-footed shot,Paulo Dybala
587,18_19,Serie A,19,2018-12-29,Home,Juv,UC Sampdoria,2:1,LW,65,02:01,Penalty,
588,18_19,Supercoppa Italiana,Final,2019-01-16,Home,Juv,AC Milan,1:0,LW,61,01:00,Header,Miralem Pjanic
589,18_19,Serie A,21,2019-01-27,Away,Juv,SS Lazio,1:2,LW,88,01:02,Penalty,
590,18_19,Serie A,22,2019-02-02,Home,Juv,Parma Calcio 1913,3:3,LW,36,01:00,Right-footed shot,Blaise Matuidi
591,18_19,Serie A,22,2019-02-02,Home,Juv,Parma Calcio 1913,3:3,LW,66,03:01,Header,Mario Mandzukic
592,18_19,Serie A,23,2019-02-10,Away,Juv,US Sassuolo,0:3,LW,70,00:02,Header,Miralem Pjanic
593,18_19,Serie A,24,2019-02-15,Home,Juv,Frosinone Calcio,3:0,LW,63,03:00,Right-footed shot,Mario Mandzukic
594,18_19,UEFA Champions League,last 16,2019-03-12,Home,Juv,Atletico de Madrid,3:0,CF,27,01:00,Header,Federico Bernardeschi
595,18_19,UEFA Champions League,last 16,2019-03-12,Home,Juv,Atletico de Madrid,3:0,CF,49,02:00,Header,José Callejón
596,18_19,UEFA Champions League,last 16,2019-03-12,Home,Juv,Atletico de Madrid,3:0,CF,86,03:00,Penalty,
597,18_19,UEFA Champions League,Quarter-Finals,2019-04-10,Away,Juv,Ajax Amsterdam,1:1,LW,45,00:01,Header,José Callejón
598,18_19,UEFA Champions League,Quarter-Finals,2019-04-16,Home,Juv,Ajax Amsterdam,1:2,LW,28,01:00,Header,Miralem Pjanic
599,18_19,Serie A,34,2019-04-27,Away,Juv,Inter Milan,1:1,CF,62,01:01,Left-footed shot,Miralem Pjanic
600,18_19,Serie A,35,2019-05-03,Home,Juv,Torino FC,1:1,CF,84,01:01,Header,Leonardo Spinazzola
601,19_20,Serie A,2,2019-08-31,Home,Juv,SSC Napoli,4:3,LW,62,03:00,Left-footed shot,Douglas Costa
602,19_20,Serie A,4,2019-09-21,Home,Juv,Hellas Verona,2:1,LW,49,02:01,Penalty,
603,19_20,Serie A,6,2019-09-28,Home,Juv,SPAL,2:0,CF,78,02:00,Header,Paulo Dybala
604,19_20,UEFA Champions League,Group Stage,2019-10-01,Home,Juv,Bayer 04 Leverkusen,3:0,CF,89,03:00,Right-footed shot,Paulo Dybala
605,19_20,Serie A,8,2019-10-19,Home,Juv,Bologna FC 1909,2:1,CF,19,01:00,Right-footed shot,
606,19_20,Serie A,10,2019-10-30,Home,Juv,Genoa CFC,2:1,CF,90+6,02:01,Penalty,
607,19_20,Serie A,14,2019-12-01,Home,Juv,US Sassuolo,2:2,CF,68,02:02,Penalty,
608,19_20,Serie A,15,2019-12-07,Away,Juv,SS Lazio,3:1,CF,25,00:01,Tap-in,Rodrigo Bentancur
609,19_20,UEFA Champions League,Group Stage,2019-12-11,Away,Juv,Bayer 04 Leverkusen,0:2,CF,75,00:01,Right-footed shot,Paulo Dybala
610,19_20,Serie A,16,2019-12-15,Home,Juv,Udinese Calcio,3:1,CF,9,01:00,Right-footed shot,
611,19_20,Serie A,16,2019-12-15,Home,Juv,Udinese Calcio,3:1,CF,37,02:00,Left-footed shot,Gonzalo Higuain
612,19_20,Serie A,17,2019-12-18,Away,Juv,UC Sampdoria,1:2,LW,45,01:02,Header,Alex Sandro
613,19_20,Serie A,18,2020-01-06,Home,Juv,Cagliari Calcio,4:0,CF,49,01:00,Right-footed shot,
614,19_20,Serie A,18,2020-01-06,Home,Juv,Cagliari Calcio,4:0,CF,67,02:00,Penalty,
