,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing Position,Minutes,Score At,Type,Goal assist
242,11_12,LaLiga,34,2012-04-14,Away,FC Barcelona,Levante UD,1:2,CF,73,01:02,Penalty,
243,11_12,LaLiga,36,2012-04-29,Away,FC Barcelona,Rayo Vallecano,0:7,CF,16,00:01,Left-footed shot,Pedro
244,11_12,LaLiga,36,2012-04-29,Away,FC Barcelona,Rayo Vallecano,0:7,CF,88,00:07,Left-footed shot,Pedro
245,11_12,LaLiga,20,2012-05-02,Home,FC Barcelona,Malaga CF,4:1,CF,34,02:01,Penalty,
246,11_12,LaLiga,20,2012-05-02,Home,FC Barcelona,Malaga CF,4:1,CF,60,03:01,Penalty,
247,11_12,LaLiga,20,2012-05-02,Home,FC Barcelona,Malaga CF,4:1,CF,63,04:01,Left-footed shot,Andres Iniesta
248,11_12,LaLiga,37,2012-05-05,Home,FC Barcelona,RCD Espanyol Barcelona,4:0,CF,11,01:00,Direct free kick,
249,11_12,LaLiga,37,2012-05-05,Home,FC Barcelona,RCD Espanyol Barcelona,4:0,CF,63,02:00,Penalty,
250,11_12,LaLiga,37,2012-05-05,Home,FC Barcelona,RCD Espanyol Barcelona,4:0,CF,73,03:00,Left-footed shot,Adriano
251,11_12,LaLiga,37,2012-05-05,Home,FC Barcelona,RCD Espanyol Barcelona,4:0,CF,78,04:00,Penalty,
252,11_12,Copa del Rey,Final,2012-05-25,Home,FC Barcelona,Athletic Bilbao,3:0,CF,20,02:00,Right-footed shot,Andres Iniesta
253,12_13,LaLiga,1,2012-08-19,Home,FC Barcelona,Real Sociedad,5:1,CF,10,02:01,Left-footed shot,Pedro
254,12_13,LaLiga,1,2012-08-19,Home,FC Barcelona,Real Sociedad,5:1,CF,15,03:01,Left-footed shot,Cristian Tello
255,12_13,Supercopa,final,2012-08-23,Home,FC Barcelona,Real Madrid,3:2,CF,60,02:01,Penalty,
256,12_13,LaLiga,2,2012-08-26,Away,FC Barcelona,CA Osasuna,1:2,CF,74,01:01,Left-footed shot,Alexis Sanchez
257,12_13,LaLiga,2,2012-08-26,Away,FC Barcelona,CA Osasuna,1:2,CF,79,01:02,Left-footed shot,Jordi Alba
258,12_13,Supercopa,final,2012-08-29,Away,FC Barcelona,Real Madrid,2:1,CF,45,02:01,Direct free kick,
259,12_13,LaLiga,4,2012-09-15,Away,FC Barcelona,Getafe CF,1:4,CF,74,00:02,Penalty,
260,12_13,LaLiga,4,2012-09-15,Away,FC Barcelona,Getafe CF,1:4,CF,78,00:03,Left-footed shot,Pedro
261,12_13,UEFA Champions League,Group Stage,2012-09-19,Home,FC Barcelona,Spartak Moscow,3:2,CF,71,02:02,Left-footed shot,Cristian Tello
262,12_13,UEFA Champions League,Group Stage,2012-09-19,Home,FC Barcelona,Spartak Moscow,3:2,CF,80,03:02,Header,Alexis Sanchez
263,12_13,LaLiga,7,2012-10-07,Home,FC Barcelona,Real Madrid,2:2,CF,31,01:01,Left-footed shot,
264,12_13,LaLiga,7,2012-10-07,Home,FC Barcelona,Real Madrid,2:2,CF,60,02:01,Direct free kick,
265,12_13,LaLiga,8,2012-10-20,Away,FC Barcelona,Deportivo de La Coruaa,4:5,CF,17,00:03,Left-footed shot,Cesc Fabregas
266,12_13,LaLiga,8,2012-10-20,Away,FC Barcelona,Deportivo de La Coruaa,4:5,CF,43,02:04,Left-footed shot,Cesc Fabregas
267,12_13,LaLiga,8,2012-10-20,Away,FC Barcelona,Deportivo de La Coruaa,4:5,CF,76,03:05,Left-footed shot,Xavi
268,12_13,LaLiga,9,2012-10-27,Away,FC Barcelona,Rayo Vallecano,0:5,CF,48,00:02,Left-footed shot,Marta Montoya
269,12_13,LaLiga,9,2012-10-27,Away,FC Barcelona,Rayo Vallecano,0:5,CF,89,00:05,Right-footed shot,Cesc Fabregas
270,12_13,UEFA Champions League,Group Stage,2012-11-07,Away,FC Barcelona,Celtic FC,2:1,CF,90+1,02:01,Tap-in,
271,12_13,LaLiga,11,2012-11-11,Away,FC Barcelona,RCD Mallorca,2:4,CF,43,00:02,Left-footed shot,Sergio Busquets
272,12_13,LaLiga,11,2012-11-11,Away,FC Barcelona,RCD Mallorca,2:4,CF,70,02:04,Left-footed shot,Alexis Sanchez
273,12_13,LaLiga,12,2012-11-17,Home,FC Barcelona,Real Zaragoza,3:1,CF,15,01:00,Left-footed shot,Jordi Alba
274,12_13,LaLiga,12,2012-11-17,Home,FC Barcelona,Real Zaragoza,3:1,CF,60,03:01,Left-footed shot,Marta Montoya
275,12_13,UEFA Champions League,Group Stage,2012-11-20,Away,FC Barcelona,Spartak Moscow,0:3,CF,27,00:02,Right-footed shot,
276,12_13,UEFA Champions League,Group Stage,2012-11-20,Away,FC Barcelona,Spartak Moscow,0:3,CF,39,00:03,Left-footed shot,Pedro
277,12_13,LaLiga,13,2012-11-25,Away,FC Barcelona,Levante UD,0:4,CF,46,00:01,Left-footed shot,Andres Iniesta
278,12_13,LaLiga,13,2012-11-25,Away,FC Barcelona,Levante UD,0:4,CF,51,00:02,Left-footed shot,Andres Iniesta
279,12_13,LaLiga,14,2012-12-01,Home,FC Barcelona,Athletic Bilbao,5:1,CF,24,02:00,Left-footed shot,Xavi
280,12_13,LaLiga,14,2012-12-01,Home,FC Barcelona,Athletic Bilbao,5:1,CF,69,05:01,Right-footed shot,Pedro
281,12_13,LaLiga,15,2012-12-09,Away,FC Barcelona,Real Betis Balompie,1:2,CF,16,00:01,Left-footed shot,Andres Iniesta
282,12_13,LaLiga,15,2012-12-09,Away,FC Barcelona,Real Betis Balompie,1:2,CF,25,00:02,Left-footed shot,Andres Iniesta
283,12_13,Copa del Rey,last 16,2012-12-12,Away,FC Barcelona,Córdoba CF,0:2,CF,10,00:01,Left-footed shot,David Villa
284,12_13,Copa del Rey,last 16,2012-12-12,Away,FC Barcelona,Córdoba CF,0:2,CF,73,00:02,Left-footed shot,Alexis Sanchez
285,12_13,LaLiga,16,2012-12-16,Home,FC Barcelona,Atletico de Madrid,4:1,CF,58,03:01,Left-footed shot,Alexis Sanchez
286,12_13,LaLiga,16,2012-12-16,Home,FC Barcelona,Atletico de Madrid,4:1,CF,88,04:01,Left-footed shot,
287,12_13,LaLiga,17,2012-12-22,Away,FC Barcelona,Real Valladolid CF,1:3,CF,59,00:02,Left-footed shot,Xavi
288,12_13,LaLiga,18,2013-01-06,Home,FC Barcelona,RCD Espanyol Barcelona,4:0,CF,28,04:00,Penalty,
289,12_13,LaLiga,19,2013-01-13,Away,FC Barcelona,Malaga CF,1:3,CF,26,00:01,Right-footed shot,
290,12_13,Copa del Rey,Quarter-Finals,2013-01-16,Home,FC Barcelona,Malaga CF,2:2,CF,29,01:01,Left-footed shot,
291,12_13,LaLiga,20,2013-01-19,Away,FC Barcelona,Real Sociedad,3:2,CF,6,00:01,Left-footed shot,Andres Iniesta
292,12_13,Copa del Rey,Quarter-Finals,2013-01-24,Away,FC Barcelona,Malaga CF,2:4,CF,79,02:04,Header,Dani Alves
293,12_13,LaLiga,21,2013-01-27,Home,FC Barcelona,CA Osasuna,5:1,CF,11,01:00,Right-footed shot,Xavi
294,12_13,LaLiga,21,2013-01-27,Home,FC Barcelona,CA Osasuna,5:1,CF,28,02:01,Penalty,
295,12_13,LaLiga,21,2013-01-27,Home,FC Barcelona,CA Osasuna,5:1,CF,56,04:01,Left-footed shot,David Villa
296,12_13,LaLiga,21,2013-01-27,Home,FC Barcelona,CA Osasuna,5:1,CF,58,05:01,Left-footed shot,Adriano
297,12_13,LaLiga,22,2013-02-03,Away,FC Barcelona,Valencia CF,1:1,CF,39,01:01,Penalty,
298,12_13,LaLiga,23,2013-02-10,Home,FC Barcelona,Getafe CF,6:1,CF,13,02:00,Left-footed shot,Thiago
299,12_13,LaLiga,24,2013-02-16,Away,FC Barcelona,Granada CF,1:2,CF,49,01:01,Left-footed shot,
300,12_13,LaLiga,24,2013-02-16,Away,FC Barcelona,Granada CF,1:2,CF,72,01:02,Direct free kick,
301,12_13,LaLiga,25,2013-02-23,Home,FC Barcelona,Sevilla FC,2:1,CF,60,02:01,Left-footed shot,Cristian Tello
302,12_13,LaLiga,26,2013-03-02,Away,FC Barcelona,Real Madrid,2:1,CF,18,01:01,Left-footed shot,Dani Alves
303,12_13,LaLiga,27,2013-03-09,Home,FC Barcelona,Deportivo de La Coruaa,2:0,CF,88,02:00,Left-footed shot,Alexis Sanchez
304,12_13,UEFA Champions League,last 16,2013-03-12,Home,FC Barcelona,AC Milan,4:0,CF,5,01:00,Left-footed shot,Xavi
305,12_13,UEFA Champions League,last 16,2013-03-12,Home,FC Barcelona,AC Milan,4:0,CF,40,02:00,Left-footed shot,Andres Iniesta
306,12_13,LaLiga,28,2013-03-17,Home,FC Barcelona,Rayo Vallecano,3:1,CF,40,02:00,Left-footed shot,David Villa
307,12_13,LaLiga,28,2013-03-17,Home,FC Barcelona,Rayo Vallecano,3:1,CF,57,03:00,Left-footed shot,David Villa
308,12_13,LaLiga,29,2013-03-30,Away,FC Barcelona,Celta de Vigo,2:2,CF,73,01:02,Left-footed shot,Cristian Tello
309,12_13,UEFA Champions League,Quarter-Finals,2013-04-02,Away,FC Barcelona,Paris Saint-Germain,2:2,CF,38,00:01,Left-footed shot,Dani Alves
310,12_13,LaLiga,33,2013-04-27,Away,FC Barcelona,Athletic Bilbao,2:2,CF,67,01:01,Left-footed shot,Thiago
311,12_13,LaLiga,34,2013-05-05,Home,FC Barcelona,Real Betis Balompie,4:2,CF,60,03:02,Direct free kick,
312,12_13,LaLiga,34,2013-05-05,Home,FC Barcelona,Real Betis Balompie,4:2,CF,71,04:02,Left-footed shot,Alexis Sanchez
313,13_14,LaLiga,1,2013-08-18,Home,FC Barcelona,Levante UD,7:0,CF,13,02:00,Left-footed shot,Pedro
314,13_14,LaLiga,1,2013-08-18,Home,FC Barcelona,Levante UD,7:0,CF,42,05:00,Penalty,
315,13_14,LaLiga,3,2013-09-01,Away,FC Barcelona,Valencia CF,2:3,CF,11,00:01,Left-footed shot,Cesc Fabregas
316,13_14,LaLiga,3,2013-09-01,Away,FC Barcelona,Valencia CF,2:3,CF,39,00:02,Right-footed shot,Cesc Fabregas
317,13_14,LaLiga,3,2013-09-01,Away,FC Barcelona,Valencia CF,2:3,CF,41,00:03,Left-footed shot,Neymar
318,13_14,LaLiga,4,2013-09-14,Home,FC Barcelona,Sevilla FC,3:2,CF,75,02:00,Left-footed shot,Neymar
319,13_14,UEFA Champions League,Group Stage,2013-09-18,Home,FC Barcelona,Ajax Amsterdam,4:0,CF,22,01:00,Direct free kick,
320,13_14,UEFA Champions League,Group Stage,2013-09-18,Home,FC Barcelona,Ajax Amsterdam,4:0,CF,55,02:00,Left-footed shot,Sergio Busquets
321,13_14,UEFA Champions League,Group Stage,2013-09-18,Home,FC Barcelona,Ajax Amsterdam,4:0,CF,75,04:00,Left-footed shot,Xavi
322,13_14,LaLiga,6,2013-09-24,Home,FC Barcelona,Real Sociedad,4:1,CF,8,02:00,Header,Neymar
323,13_14,LaLiga,7,2013-09-28,Away,FC Barcelona,UD Almera,0:2,CF,21,00:01,Left-footed shot,Pedro
324,13_14,UEFA Champions League,Group Stage,2013-10-22,Away,FC Barcelona,AC Milan,1:1,CF,23,01:01,Left-footed shot,Andres Iniesta
325,13_14,UEFA Champions League,Group Stage,2013-11-06,Home,FC Barcelona,AC Milan,3:1,CF,30,01:00,Penalty,
326,13_14,UEFA Champions League,Group Stage,2013-11-06,Home,FC Barcelona,AC Milan,3:1,CF,83,03:01,Left-footed shot,Cesc Fabregas
327,13_14,Copa del Rey,last 16,2014-01-08,Home,FC Barcelona,Getafe CF,4:0,CF,90,03:00,Left-footed shot,Marta Montoya
328,13_14,Copa del Rey,last 16,2014-01-08,Home,FC Barcelona,Getafe CF,4:0,CF,90+2,04:00,Left-footed shot,Alex Song
329,13_14,Copa del Rey,last 16,2014-01-16,Away,FC Barcelona,Getafe CF,0:2,CF,43,00:01,Right-footed shot,Cristian Tello
330,13_14,Copa del Rey,last 16,2014-01-16,Away,FC Barcelona,Getafe CF,0:2,CF,63,00:02,Left-footed shot,
331,13_14,LaLiga,22,2014-02-01,Home,FC Barcelona,Valencia CF,2:3,CF,54,02:02,Penalty,
332,13_14,LaLiga,23,2014-02-09,Away,FC Barcelona,Sevilla FC,1:4,CF,44,01:02,Left-footed shot,Pedro
333,13_14,LaLiga,23,2014-02-09,Away,FC Barcelona,Sevilla FC,1:4,CF,56,01:03,Left-footed shot,Andres Iniesta
334,13_14,Copa del Rey,Semi-Finals,2014-02-12,Away,FC Barcelona,Real Sociedad,1:1,CF,26,00:01,Solo run,
335,13_14,LaLiga,24,2014-02-15,Home,FC Barcelona,Rayo Vallecano,6:0,CF,36,02:00,Left-footed shot,Cesc Fabregas
336,13_14,LaLiga,24,2014-02-15,Home,FC Barcelona,Rayo Vallecano,6:0,CF,68,05:00,Left-footed shot,Alexis Sanchez
337,13_14,UEFA Champions League,last 16,2014-02-18,Away,FC Barcelona,Manchester City,0:2,CF,54,00:01,Penalty,
338,13_14,LaLiga,25,2014-02-22,Away,FC Barcelona,Real Sociedad,3:1,CF,36,01:01,Left-footed shot,Marta Montoya
339,13_14,LaLiga,26,2014-03-02,Home,FC Barcelona,UD Almera,4:1,CF,24,02:00,Direct free kick,
340,13_14,UEFA Champions League,last 16,2014-03-12,Home,FC Barcelona,Manchester City,2:1,CF,67,01:00,Left-footed shot,
341,13_14,LaLiga,28,2014-03-16,Home,FC Barcelona,CA Osasuna,7:0,CF,18,01:00,Left-footed shot,Alexis Sanchez
342,13_14,LaLiga,28,2014-03-16,Home,FC Barcelona,CA Osasuna,7:0,CF,63,04:00,Left-footed shot,Andres Iniesta
343,13_14,LaLiga,28,2014-03-16,Home,FC Barcelona,CA Osasuna,7:0,CF,88,06:00,Right-footed shot,Dani Alves
344,13_14,LaLiga,29,2014-03-23,Away,FC Barcelona,Real Madrid,3:4,CF,42,02:02,Left-footed shot,Neymar
345,13_14,LaLiga,29,2014-03-23,Away,FC Barcelona,Real Madrid,3:4,CF,65,03:03,Penalty,
346,13_14,LaLiga,29,2014-03-23,Away,FC Barcelona,Real Madrid,3:4,CF,84,03:04,Penalty,
347,13_14,LaLiga,30,2014-03-26,Home,FC Barcelona,Celta de Vigo,3:0,CF,30,02:00,Right-footed shot,Andres Iniesta
348,13_14,LaLiga,31,2014-03-29,Away,FC Barcelona,RCD Espanyol Barcelona,0:1,CF,77,00:01,Penalty,
349,13_14,LaLiga,32,2014-04-05,Home,FC Barcelona,Real Betis Balompie,3:1,CF,15,01:00,Penalty,
350,13_14,LaLiga,32,2014-04-05,Home,FC Barcelona,Real Betis Balompie,3:1,CF,86,03:01,Penalty rebound,Antonio Amaya
351,13_14,LaLiga,34,2014-04-20,Home,FC Barcelona,Athletic Bilbao,2:1,CF,74,02:01,Direct free kick,
352,13_14,LaLiga,35,2014-04-27,Away,FC Barcelona,Villarreal CF,2:3,CF,83,02:03,Right-footed shot,Cesc Fabregas
353,13_14,LaLiga,36,2014-05-03,Home,FC Barcelona,Getafe CF,2:2,CF,23,01:00,Left-footed shot,Dani Alves
354,14_15,LaLiga,1,2014-08-24,Home,FC Barcelona,Elche CF,3:0,CF,42,01:00,Left-footed shot,Sergio Busquets
355,14_15,LaLiga,1,2014-08-24,Home,FC Barcelona,Elche CF,3:0,CF,64,03:00,Left-footed shot,
356,14_15,LaLiga,4,2014-09-21,Away,FC Barcelona,Levante UD,0:5,CF,77,00:05,Right-footed shot,
357,14_15,LaLiga,6,2014-09-27,Home,FC Barcelona,Granada CF,6:0,CF,62,04:00,Header,Dani Alves
358,14_15,LaLiga,6,2014-09-27,Home,FC Barcelona,Granada CF,6:0,CF,82,06:00,Right-footed shot,
359,14_15,UEFA Champions League,Group Stage,2014-09-30,Away,FC Barcelona,Paris Saint-Germain,3:2,RW,12,01:01,Left-footed shot,Andres Iniesta
360,14_15,LaLiga,7,2014-10-04,Away,FC Barcelona,Rayo Vallecano,0:2,CF,35,00:01,Left-footed shot,Gerard Pique
361,14_15,LaLiga,8,2014-10-18,Home,FC Barcelona,SD Eibar,3:0,CF,74,03:00,Left-footed shot,Neymar
362,14_15,UEFA Champions League,Group Stage,2014-10-21,Home,FC Barcelona,Ajax Amsterdam,3:1,CF,24,02:00,Left-footed shot,Andres Iniesta
363,14_15,UEFA Champions League,Group Stage,2014-11-05,Away,FC Barcelona,Ajax Amsterdam,0:2,RW,36,00:01,Header,Marc Bartra
364,14_15,UEFA Champions League,Group Stage,2014-11-05,Away,FC Barcelona,Ajax Amsterdam,0:2,RW,76,00:02,Left-footed shot,Pedro
365,14_15,LaLiga,12,2014-11-22,Home,FC Barcelona,Sevilla FC,5:1,RW,21,01:00,Direct free kick,
366,14_15,LaLiga,12,2014-11-22,Home,FC Barcelona,Sevilla FC,5:1,RW,73,04:01,Tap-in,Neymar
367,14_15,LaLiga,12,2014-11-22,Home,FC Barcelona,Sevilla FC,5:1,RW,78,05:01,Left-footed shot,Neymar
368,14_15,UEFA Champions League,Group Stage,2014-11-25,Away,FC Barcelona,APOEL Nicosia,0:4,CF,38,00:02,Right-footed shot,Rafinha
369,14_15,UEFA Champions League,Group Stage,2014-11-25,Away,FC Barcelona,APOEL Nicosia,0:4,CF,58,00:03,Right-footed shot,Dani Alves
370,14_15,UEFA Champions League,Group Stage,2014-11-25,Away,FC Barcelona,APOEL Nicosia,0:4,CF,87,00:04,Right-footed shot,Pedro
371,14_15,LaLiga,14,2014-12-07,Home,FC Barcelona,RCD Espanyol Barcelona,5:1,RW,45+1,01:01,Left-footed shot,Xavi
372,14_15,LaLiga,14,2014-12-07,Home,FC Barcelona,RCD Espanyol Barcelona,5:1,RW,50,02:01,Right-footed shot,Luis Suarez
373,14_15,LaLiga,14,2014-12-07,Home,FC Barcelona,RCD Espanyol Barcelona,5:1,RW,81,05:01,Right-footed shot,Pedro
374,14_15,UEFA Champions League,Group Stage,2014-12-10,Home,FC Barcelona,Paris Saint-Germain,3:1,AM,19,01:01,Right-footed shot,Luis Suarez
375,14_15,LaLiga,16,2014-12-20,Home,FC Barcelona,Córdoba CF,5:0,RW,82,04:00,Right-footed shot,
376,14_15,LaLiga,16,2014-12-20,Home,FC Barcelona,Córdoba CF,5:0,RW,90,05:00,Right-footed shot,
377,14_15,Copa del Rey,last 16,2015-01-08,Home,FC Barcelona,Elche CF,5:0,RW,45,03:00,Penalty,
378,14_15,LaLiga,18,2015-01-11,Home,FC Barcelona,Atletico de Madrid,3:1,RW,87,03:01,Left-footed shot,
379,14_15,LaLiga,19,2015-01-18,Away,FC Barcelona,Deportivo de La Coruaa,0:4,RW,11,00:01,Header,Ivan Rakitic
380,14_15,LaLiga,19,2015-01-18,Away,FC Barcelona,Deportivo de La Coruaa,0:4,RW,33,00:02,Left-footed shot,Luis Suarez
381,14_15,LaLiga,19,2015-01-18,Away,FC Barcelona,Deportivo de La Coruaa,0:4,RW,62,00:03,Left-footed shot,Ivan Rakitic
382,14_15,Copa del Rey,Quarter-Finals,2015-01-21,Home,FC Barcelona,Atletico de Madrid,1:0,RW,85,01:00,Penalty rebound,
383,14_15,LaLiga,20,2015-01-24,Away,FC Barcelona,Elche CF,0:6,CF,55,00:02,Penalty,
384,14_15,LaLiga,20,2015-01-24,Away,FC Barcelona,Elche CF,0:6,CF,88,00:05,Left-footed shot,Marc Bartra
385,14_15,LaLiga,21,2015-02-01,Home,FC Barcelona,Villarreal CF,3:2,RW,55,03:02,Right-footed shot,Luis Suarez
386,14_15,LaLiga,22,2015-02-08,Away,FC Barcelona,Athletic Bilbao,2:5,RW,15,00:01,Direct free kick,
387,14_15,Copa del Rey,Semi-Finals,2015-02-11,Home,FC Barcelona,Villarreal CF,3:1,RW,41,01:00,Left-footed shot,Luis Suarez
388,14_15,LaLiga,23,2015-02-15,Home,FC Barcelona,Levante UD,5:0,CF,38,02:00,Right-footed shot,Marc Bartra
389,14_15,LaLiga,23,2015-02-15,Home,FC Barcelona,Levante UD,5:0,CF,59,03:00,Right-footed shot,Pedro
390,14_15,LaLiga,23,2015-02-15,Home,FC Barcelona,Levante UD,5:0,CF,65,04:00,Penalty,
391,14_15,LaLiga,25,2015-02-28,Away,FC Barcelona,Granada CF,1:3,RW,70,01:03,Right-footed shot,Luis Suarez
392,14_15,LaLiga,26,2015-03-08,Home,FC Barcelona,Rayo Vallecano,6:1,RW,56,03:00,Penalty,
393,14_15,LaLiga,26,2015-03-08,Home,FC Barcelona,Rayo Vallecano,6:1,RW,63,04:00,Tap-in,
394,14_15,LaLiga,26,2015-03-08,Home,FC Barcelona,Rayo Vallecano,6:1,RW,68,05:00,Left-footed shot,Pedro
395,14_15,LaLiga,27,2015-03-14,Away,FC Barcelona,SD Eibar,0:2,RW,31,00:01,Penalty,
396,14_15,LaLiga,27,2015-03-14,Away,FC Barcelona,SD Eibar,0:2,RW,55,00:02,Header,Ivan Rakitic
397,14_15,LaLiga,30,2015-04-08,Home,FC Barcelona,UD Almera,4:0,RW,33,01:00,Left-footed shot,Marc Bartra
398,14_15,LaLiga,31,2015-04-11,Away,FC Barcelona,Sevilla FC,2:2,RW,15,00:01,Left-footed shot,Neymar
399,14_15,LaLiga,32,2015-04-18,Home,FC Barcelona,Valencia CF,2:0,RW,90+4,02:00,Left-footed shot,
400,14_15,LaLiga,33,2015-04-25,Away,FC Barcelona,RCD Espanyol Barcelona,0:2,RW,25,00:02,Left-footed shot,Luis Suarez
401,14_15,LaLiga,34,2015-04-28,Home,FC Barcelona,Getafe CF,6:0,RW,9,01:00,Penalty,
402,14_15,LaLiga,34,2015-04-28,Home,FC Barcelona,Getafe CF,6:0,RW,47,06:00,Left-footed shot,Luis Suarez
403,14_15,LaLiga,35,2015-05-02,Away,FC Barcelona,Córdoba CF,0:8,RW,47,00:03,Header,Dani Alves
404,14_15,LaLiga,35,2015-05-02,Away,FC Barcelona,Córdoba CF,0:8,RW,80,00:06,Left-footed shot,Luis Suarez
405,14_15,UEFA Champions League,Semi-Finals,2015-05-06,Home,FC Barcelona,Bayern Munich,3:0,RW,77,01:00,Left-footed shot,Dani Alves
406,14_15,UEFA Champions League,Semi-Finals,2015-05-06,Home,FC Barcelona,Bayern Munich,3:0,RW,80,02:00,Right-footed shot,Ivan Rakitic
407,14_15,LaLiga,37,2015-05-17,Away,FC Barcelona,Atletico de Madrid,0:1,RW,65,00:01,Left-footed shot,Pedro
408,14_15,LaLiga,38,2015-05-23,Home,FC Barcelona,Deportivo de La Coruaa,2:2,RW,5,01:00,Header,Rafinha
409,14_15,LaLiga,38,2015-05-23,Home,FC Barcelona,Deportivo de La Coruaa,2:2,RW,59,02:00,Right-footed shot,Neymar
410,14_15,Copa del Rey,Final,2015-05-30,Away,FC Barcelona,Athletic Bilbao,1:3,RW,20,00:01,Solo run,
411,14_15,Copa del Rey,Final,2015-05-30,Away,FC Barcelona,Athletic Bilbao,1:3,RW,74,00:03,Left-footed shot,Dani Alves
412,15_16,UEFA Super Cup,Final,2015-08-11,Home,FC Barcelona,Sevilla FC,5:4 AET,RW,7,01:01,Direct free kick,
413,15_16,UEFA Super Cup,Final,2015-08-11,Home,FC Barcelona,Sevilla FC,5:4 AET,RW,16,02:01,Direct free kick,
414,15_16,Supercopa,final,2015-08-17,Home,FC Barcelona,Athletic Bilbao,1:1,RW,43,01:00,Left-footed shot,Luis Suarez
415,15_16,LaLiga,3,2015-09-12,Away,FC Barcelona,Atletico de Madrid,1:2,RW,77,01:02,Left-footed shot,Luis Suarez
416,15_16,LaLiga,4,2015-09-20,Home,FC Barcelona,Levante UD,4:1,AM,61,03:00,Penalty,
417,15_16,LaLiga,4,2015-09-20,Home,FC Barcelona,Levante UD,4:1,AM,90,04:01,Left-footed shot,Marc Bartra
418,15_16,UEFA Champions League,Group Stage,2015-11-24,Home,FC Barcelona,AS Roma,6:1,RW,18,02:00,Left-footed shot,Luis Suarez
419,15_16,UEFA Champions League,Group Stage,2015-11-24,Home,FC Barcelona,AS Roma,6:1,RW,60,05:00,Tap-in,
420,15_16,LaLiga,13,2015-11-28,Home,FC Barcelona,Real Sociedad,4:0,RW,90+1,04:00,Left-footed shot,Neymar
421,15_16,UEFA Champions League,Group Stage,2015-12-09,Away,FC Barcelona,Bayer 04 Leverkusen,1:1,CF,20,00:01,Right-footed shot,Ivan Rakitic
422,15_16,LaLiga,15,2015-12-12,Home,FC Barcelona,Deportivo de La Coruaa,2:2,RW,39,01:00,Direct free kick,
423,15_16,FIFA Club World Cup,Final,2015-12-20,Away,FC Barcelona,CA River Plate,0:3,RW,36,00:01,Left-footed shot,Neymar
424,15_16,LaLiga,17,2015-12-30,Home,FC Barcelona,Real Betis Balompie,4:0,RW,33,02:00,Right-footed shot,Neymar
425,15_16,Copa del Rey,last 16,2016-01-06,Home,FC Barcelona,RCD Espanyol Barcelona,4:1,RW,13,01:01,Left-footed shot,Andres Iniesta
426,15_16,Copa del Rey,last 16,2016-01-06,Home,FC Barcelona,RCD Espanyol Barcelona,4:1,RW,44,02:01,Direct free kick,
427,15_16,LaLiga,19,2016-01-09,Home,FC Barcelona,Granada CF,4:0,RW,8,01:00,Left-footed shot,Arda Turan
428,15_16,LaLiga,19,2016-01-09,Home,FC Barcelona,Granada CF,4:0,RW,14,02:00,Left-footed shot,Luis Suarez
429,15_16,LaLiga,19,2016-01-09,Home,FC Barcelona,Granada CF,4:0,RW,58,03:00,Tap-in,
430,15_16,LaLiga,20,2016-01-17,Home,FC Barcelona,Athletic Bilbao,6:0,RW,7,01:00,Penalty,
431,15_16,LaLiga,21,2016-01-23,Away,FC Barcelona,Malaga CF,1:2,RW,51,01:02,Left-footed shot,Adriano
432,15_16,LaLiga,22,2016-01-30,Home,FC Barcelona,Atletico de Madrid,2:1,RW,30,01:01,Left-footed shot,Jordi Alba
433,15_16,Copa del Rey,Semi-Finals,2016-02-03,Home,FC Barcelona,Valencia CF,7:0,RW,29,03:00,Left-footed shot,Neymar
434,15_16,Copa del Rey,Semi-Finals,2016-02-03,Home,FC Barcelona,Valencia CF,7:0,RW,59,04:00,Left-footed shot,Luis Suarez
435,15_16,Copa del Rey,Semi-Finals,2016-02-03,Home,FC Barcelona,Valencia CF,7:0,RW,74,05:00,Left-footed shot,
436,15_16,LaLiga,24,2016-02-14,Home,FC Barcelona,Celta de Vigo,6:1,RW,28,01:00,Direct free kick,
437,15_16,LaLiga,16,2016-02-17,Away,FC Barcelona,Sporting de Gijón,1:3,RW,25,00:01,Left-footed shot,Luis Suarez
438,15_16,LaLiga,16,2016-02-17,Away,FC Barcelona,Sporting de Gijón,1:3,RW,31,01:02,Left-footed shot,Luis Suarez
439,15_16,UEFA Champions League,last 16,2016-02-23,Away,FC Barcelona,Arsenal FC,0:2,RW,71,00:01,Left-footed shot,Neymar
440,15_16,UEFA Champions League,last 16,2016-02-23,Away,FC Barcelona,Arsenal FC,0:2,RW,83,00:02,Penalty,
441,15_16,LaLiga,26,2016-02-28,Home,FC Barcelona,Sevilla FC,2:1,RW,31,01:01,Direct free kick,
442,15_16,LaLiga,27,2016-03-03,Away,FC Barcelona,Rayo Vallecano,1:5,RW,23,00:02,Left-footed shot,Neymar
443,15_16,LaLiga,27,2016-03-03,Away,FC Barcelona,Rayo Vallecano,1:5,RW,53,00:03,Left-footed shot,
444,15_16,LaLiga,27,2016-03-03,Away,FC Barcelona,Rayo Vallecano,1:5,RW,72,01:04,Left-footed shot,Sergio Busquets
445,15_16,LaLiga,28,2016-03-06,Away,FC Barcelona,SD Eibar,0:4,RW,42,00:02,Left-footed shot,Munir El Haddadi
446,15_16,LaLiga,28,2016-03-06,Away,FC Barcelona,SD Eibar,0:4,RW,76,00:03,Penalty,
